,PLS1,PLS2
7Networks_RH_DorsAttn_Post_6,0.002513921063900587,0.11808980222717122
7Networks_RH_DorsAttn_Post_7,0.02974323815934778,0.14316155705218397
7Networks_RH_DorsAttn_Post_8,-0.08102150648090778,0.016840530124265698
7Networks_RH_DorsAttn_Post_9,-0.0229486852420367,0.08333049550207512
7Networks_RH_DorsAttn_Post_10,-0.03201783055608913,0.07638552975268083
7Networks_RH_DorsAttn_FEF_1,-0.01925348628262484,0.08279996888363748
7Networks_RH_DorsAttn_FEF_2,0.025441199900051444,0.1354827462076825
7Networks_RH_DorsAttn_PrCv_1,-0.04414727660574725,0.06015078004562087
7Networks_RH_SalVentAttn_TempOccPar_1,0.007248658224124234,0.12252799245300944
7Networks_RH_SalVentAttn_TempOccPar_2,-0.0100166272180871,0.10825330463804986
7Networks_RH_SalVentAttn_TempOccPar_3,-0.05099201180048694,0.06422058944650341
7Networks_RH_SalVentAttn_PrC_1,-0.09409235193190994,0.010842164955863123
7Networks_RH_SalVentAttn_FrOperIns_1,-0.05892342995627933,0.05443515892918825
7Networks_RH_SalVentAttn_FrOperIns_2,-0.09134961997535944,0.013895756778467012
7Networks_RH_SalVentAttn_FrOperIns_3,-0.09972278582787052,0.00292285966397352
7Networks_RH_SalVentAttn_FrOperIns_4,-0.09111374208765763,0.007999542383308281
7Networks_RH_SalVentAttn_Med_1,-0.11520017281447158,-0.019663236415923244
7Networks_RH_SalVentAttn_Med_2,-0.052810339009790284,0.05869529622144574
7Networks_RH_SalVentAttn_Med_3,-0.04550544699735449,0.0639218213555533
7Networks_RH_Limbic_OFC_1,-0.08294397965493616,0.02458745651194766
7Networks_RH_Limbic_OFC_2,-0.056508208660654584,0.03899848363035471
7Networks_RH_Limbic_OFC_3,-0.08688199854405398,0.013594439473804227
7Networks_RH_Limbic_TempPole_1,0.003434907119697638,0.10505526208449473
7Networks_RH_Limbic_TempPole_2,0.05628195757716245,0.167199298046453
7Networks_RH_Limbic_TempPole_3,0.01991783074898065,0.137825188657147
7Networks_RH_Cont_Par_1,-0.05342273819597159,0.06209496667040247
7Networks_RH_Cont_Par_2,-0.046445376197845833,0.06740881884099754
7Networks_RH_Cont_Par_3,-0.09790281918885002,0.006547357197664583
7Networks_RH_Cont_Temp_1,-0.07749253396574807,0.030422024396988902
7Networks_RH_Cont_PFCv_1,0.1283190068432992,0.21762520126815887
7Networks_RH_Cont_PFCl_1,-0.0073930671361649575,0.11006071805270808
7Networks_RH_Cont_PFCl_2,-0.03871086714470716,0.07438537294580354
7Networks_RH_Cont_PFCl_3,-0.058905146100885285,0.05269767195658647
7Networks_RH_Cont_PFCl_4,-0.018201598398226375,0.09706765555078971
7Networks_RH_Cont_PFCl_5,-0.08696175423455642,0.01917958048486126
7Networks_RH_Cont_PFCl_6,-0.07304359820750969,0.03363646043897027
7Networks_RH_Cont_PFCl_7,-0.10522981390796923,-0.006132137954571516
7Networks_RH_Cont_pCun_1,-0.12074064810723713,-0.02585455024662902
7Networks_RH_Cont_Cing_1,-0.11142579405802483,-0.013769578196646676
